id,movie_id,genre_id
3610,10001,1
3611,10001,5
3301,10002,11
3300,10002,18
12501,10003,11
12500,10003,18
4639,10004,2
4642,10004,3
4640,10004,11
4641,10004,18
18028,10005,2
18031,10005,6
18029,10005,18
18030,10005,19
10509,10006,2
10512,10006,6
10510,10006,18
10511,10006,19
16547,10007,2
16550,10007,6
16548,10007,18
16549,10007,19
3499,10012,7
3497,10012,16
3498,10012,19
17141,10013,2
17142,10013,4
17143,10013,5
17144,10013,6
17145,10013,7
17146,10013,12
17147,10013,18
3075,10016,6
3073,10016,11
3074,10016,12
3072,10016,16
14849,10017,1
14850,10017,3
5412,10018,2
5414,10018,6
5413,10018,12
5411,10018,18
2439,10019,1
2440,10019,3
2438,10019,16
3259,10020,1
3260,10020,5
3261,10020,14
5826,10021,1
5827,10021,19
9341,10022,1
9342,10022,19
2956,10023,1
2957,10023,19
17737,10026,7
17735,10026,16
17736,10026,19
3336,10028,7
3334,10028,18
3335,10028,19
6765,10029,4
6766,10029,7
6842,10030,4
6843,10030,6
6844,10030,7
3137,10033,6
3136,10033,19
14477,10034,2
14479,10034,6
14478,10034,19
15936,10035,2
15938,10035,6
15937,10035,19
11696,10036,19
7358,10037,4
7357,10037,18
1610,10038,4
1611,10038,7
1608,10038,18
1609,10038,19
3470,10039,1
3471,10039,14
16556,10040,6
16557,10040,7
16554,10040,11
16555,10040,12
15635,10041,1
15637,10041,6
15636,10041,19
4484,10043,1
4487,10043,7
4486,10043,14
4485,10043,19
3983,10045,1
3984,10045,14
7399,10046,1
7400,10046,6
7398,10046,16
16650,10047,1
16651,10047,11
16649,10047,16
924,10048,1
4170,10049,2
4172,10049,4
4171,10049,11
4169,10049,19
5566,10050,4
5568,10050,7
5567,10050,13
11636,10055,1
11638,10055,7
11637,10055,19
12691,10056,14
12690,10056,19
16846,10057,14
16845,10057,19
5700,10058,1
5702,10058,5
5703,10058,6
5701,10058,19
2839,10059,1
2840,10059,5
1090,10061,4
1091,10061,7
1088,10061,18
1089,10061,19
14285,10062,7
14283,10062,18
14284,10062,19
12386,10064,1
10082,10065,4
7865,10066,4
7867,10066,7
7866,10066,13
9516,10068,1
9517,10068,7
9515,10068,16
16544,10069,3
19649,10070,3
19650,10070,7
19648,10070,19
6222,10071,1
6223,10071,7
6221,10071,16
6236,10072,1
6235,10072,16
1911,10073,1
1912,10073,5
218,10080,11
217,10080,16
1905,10089,1
1904,10089,5
1903,10089,17
2681,10091,1
2680,10091,16
5706,10092,2
5708,10092,6
5707,10092,12
17987,10095,2
17985,10095,11
17986,10095,18
12685,10097,1
12686,10097,11
12687,10097,14
931,10100,1
932,10100,19
1502,10101,1
1504,10101,5
1503,10101,11
3323,10102,1
3322,10102,5
3321,10102,17
13791,10103,1
13792,10103,5
13793,10103,14
7289,10105,5
7288,10105,11
7287,10105,17
13872,10106,1
13873,10106,5
2682,10107,1
2309,10110,1
2307,10110,8
2306,10110,16
2308,10110,19
4176,10111,1
4174,10111,8
4173,10111,16
4175,10111,19
18661,10112,1
18659,10112,8
18658,10112,16
18660,10112,19
3410,10113,1
3412,10113,7
3409,10113,16
3411,10113,19
3051,10114,1
17339,10115,6
17337,10115,11
17338,10115,19
3253,10117,1
3255,10117,5
3254,10117,11
3250,10118,1
3252,10118,5
3251,10118,11
1876,10124,5
1875,10124,11
11103,10127,1
11104,10127,17
9670,10128,1
9671,10128,14
5556,10132,5
5555,10132,11
19828,10133,1
11449,10135,7
11448,10135,13
11447,10135,16
10676,10138,1
15083,10140,18
15084,10140,19
19884,10142,6
19882,10142,18
19883,10142,19
6985,10149,2
6986,10149,4
6987,10149,7
4618,10150,1
4620,10150,5
4621,10150,6
4619,10150,11
12454,10151,1
10608,10152,1
5242,10153,11
5243,10153,12
5244,10153,15
5245,10153,18
5246,10153,19
7056,10155,7
7055,10155,19
15086,10156,6
15087,10156,7
15085,10156,19
12093,10157,6
12094,10157,7
12092,10157,19
19888,10158,6
19887,10158,19
19865,10165,7
19864,10165,19
18287,10168,6
18286,10168,19
11717,10170,19
4461,10173,1
4462,10173,5
8233,10178,4
8234,10178,7
4711,10179,3
4712,10179,7
15115,10181,1
15117,10181,5
15116,10181,19
18895,10182,16
18896,10182,19
18810,10183,11
18811,10183,16
18812,10183,19
7727,10185,1
7728,10185,5
8537,10190,2
8539,10190,6
8538,10190,19
3007,10200,7
3005,10200,18
3006,10200,19
6873,10201,1
17709,10202,1
11914,10204,1
13696,10209,5
13697,10209,6
13695,10209,19
7206,10217,16
7207,10217,18
7208,10217,19
10425,10218,7
10422,10218,16
10423,10218,18
10424,10218,19
15531,10219,11
12969,10230,1
12970,10230,11
3292,10231,11
3291,10231,16
16250,10237,11
11214,10238,1
14930,10242,1
14931,10242,5
3330,10243,5
3331,10243,6
3332,10243,7
16472,10244,1
16473,10244,3
16474,10244,6
12817,10246,4
12818,10246,7
12819,10246,13
12820,10246,18
12821,10246,19
2679,10249,11
11277,10250,5
11276,10250,11
6260,10251,1
6262,10251,6
6261,10251,18
5261,10253,7
5259,10253,16
5260,10253,19
11930,10259,1
11931,10259,12
1859,10262,1
4709,10263,3
4710,10263,6
18614,10268,11
10277,10271,1
10278,10271,5
19439,10273,2
19440,10273,11
17802,10275,1
17801,10275,16
17803,10275,19
1573,10282,1
1574,10282,6
6220,10283,1
14340,10285,1
14339,10285,2
14338,10285,17
4984,10286,11
16255,10290,11
16254,10290,19
9330,10293,1
7542,10294,1
7543,10294,18
1910,10299,5
1909,10299,11
5643,10301,1
5645,10301,5
5644,10301,11
8448,10304,4
8449,10304,7
8446,10304,18
8447,10304,19
17516,10306,11
17517,10306,19
15643,10310,5
15642,10310,11
17297,10311,1
17298,10311,5
8453,10313,1
8454,10313,7
8452,10313,16
4890,10314,1
4891,10314,23
19362,10315,1
19363,10315,5
4814,10323,1
4815,10323,5
4816,10323,17
19090,10328,1
19091,10328,3
19092,10328,6
10678,10330,1
10677,10330,16
10679,10330,19
13795,10331,1
13796,10331,5
16069,10332,1
16070,10332,19
11768,10334,1
11769,10334,14
10018,10336,1
5642,10341,11
18795,10343,1
18797,10343,5
18798,10343,7
18796,10343,13
13367,10351,7
13366,10351,13
13365,10351,16
15320,10353,1
17162,10357,5
17163,10357,6
17161,10357,11
12205,10359,1
12367,10362,19
17296,10363,5
17295,10363,11
17294,10363,17
12056,10371,1
16341,10373,1
13803,10378,1
13804,10378,14
10616,10385,1
10617,10385,5
10615,10385,16
5904,10389,1
5905,10389,14
8089,10394,1
7802,10395,1
7803,10395,5
7804,10395,17
14257,10396,2
14258,10396,6
14259,10396,7
14260,10396,12
14261,10396,13
14262,10396,18
11168,10397,1
11169,10397,14
14038,10403,1
14039,10403,11
7325,10404,1
8243,10410,1
8244,10410,11
4658,10418,1
14834,10420,1
14835,10420,19
10774,10423,1
4126,10429,1
4127,10429,4
6266,10430,3
6267,10430,6
17720,10431,1
17722,10431,14
17721,10431,19
1891,10434,1
1892,10434,5
14732,10440,11
14731,10440,19
19018,10441,1
19019,10441,19
2873,10442,1
2875,10442,6
2874,10442,14
8833,10443,7
8831,10443,16
8832,10443,19
6815,10444,1
6816,10444,11
6817,10444,14
5593,10448,2
5595,10448,6
5594,10448,12
5592,10448,17
17365,10450,11
4561,10452,1
4562,10452,2
4563,10452,7
4560,10452,8
2428,10453,1
2429,10453,11
18947,10454,1
18948,10454,5
8090,10469,3
8091,10469,6
10815,10473,1
10817,10473,7
10816,10473,13
10814,10473,16
14828,10478,1
14829,10478,5
14827,10478,8
3649,10479,1
3650,10479,14
8950,10482,1
8951,10482,5
4356,10488,6
4357,10488,7
4354,10488,11
4355,10488,19
6125,10489,1
6126,10489,4
6127,10489,7
14042,10493,1
14041,10493,5
14040,10493,17
8493,10494,5
8492,10494,11
2252,10495,1
2253,10495,14
17153,10497,1
17154,10497,2
17156,10497,5
17155,10497,12
3825,10501,1
3827,10501,14
3826,10501,19
18774,10508,1
18775,10508,5
8456,10514,1
8457,10514,7
8455,10514,16
6240,10516,11
5020,10517,1
5019,10517,16
4662,10519,6
4663,10519,7
4661,10519,19
9507,10521,1
9506,10521,16
9508,10521,19
99,10526,1
100,10526,7
98,10526,16
6841,10527,5
6840,10527,11
6839,10527,17
18935,10532,4
18934,10532,11
18933,10532,18
15078,10537,1
15079,10537,11
15077,10537,19
11381,10545,19
2271,10546,1
2272,10546,5
2270,10546,16
10111,10556,7
10110,10556,13
6230,10561,1
6229,10561,16
3339,10563,1
3338,10563,5
3337,10563,17
14657,10564,1
14826,10566,1
16159,10584,1
10136,10588,1
19856,10593,1
19857,10593,5
19858,10593,14
4439,10596,2
4440,10596,4
4442,10596,7
4441,10596,13
17394,10608,1
14103,10609,1
14105,10609,6
14104,10609,19
11265,10621,7
11264,10621,13
6710,10624,1
